time_index,zone_index,zone,tx_x,tx_y,tx_z,orientation_deg_x,orientation_deg_y,orientation_deg_z,r_true_x,r_true_y,r_true_z,body_center_x,body_center_y,body_center_z,distance_true_m,azimuth_true_deg,elevation_true_deg
0,0,Z0-south,-2.2,-1.2,1.22,0.0,0.0,5.0,2.7860714680602285e-17,0.455,0.0,-2.2,-0.7449999999999999,1.22,0.455,90.0,0.0
1,0,Z0-south,-1.9066666666666667,-1.175595801415452,1.2283164676327103,2.21757234170101,1.4180666311974295,4.936876709681667,-0.023087943055182147,0.46272532780223896,0.00638933167150507,-1.929754609721849,-0.712870473613213,1.2347057993042154,0.46334501795467414,92.85643660324571,0.7901095887118107
2,0,Z0-south,-1.6133333333333335,-1.1554113104713564,1.236269465723032,4.37915249831118,2.7557837353378676,4.7491006586389135,-0.04622280484051195,0.46537196059086977,0.01264708148190961,-1.6595561381738455,-0.6900393498804867,1.2489165472049415,0.4678328313206804,95.67226652478972,1.5490846986025641
3,0,Z0-south,-1.32,-1.1429366090222908,1.2435114100916989,6.430162049121691,3.9373544956222544,4.441413063745659,-0.06853171664767123,0.46367809886216516,0.018391437329400233,-1.3885317166476714,-0.6792585101601256,1.2619028474210991,0.46907592191259373,98.40746034153179,2.2470177132830833
4,0,Z0-south,-1.0266666666666668,-1.1403286862779036,1.2497257930190957,8.318814405603948,4.895829553194966,4.021582826353824,-0.08939698591885575,0.4589182277946438,0.023328146021403515,-1.1160636525855225,-0.6814104584832599,1.2730539390404991,0.46812601219153444,101.02313494135147,2.856406396386999
5,0,Z0-south,-0.7333333333333334,-1.1480384757729336,1.2546410161513775,9.997422387354497,5.576900446184322,3.5002103728471265,-0.10852282400626918,0.45265281547113345,0.027273389231124583,-0.8418561573396026,-0.6953856603018002,1.281914405382502,0.46627847092096386,103.4821062796985,3.3532376245211064
6,0,Z0-south,-0.43999999999999995,-1.1647328848624516,1.258042260651806,11.423602290788255,5.941976798835011,2.8904600011242416,-0.12590660964359465,0.4464485222867593,0.030142465495347832,-0.5659066096435946,-0.7182843625756923,1.288184726147154,0.4648411832337081,105.74941798248902,3.717933630789548
7,0,Z0-south,-0.1466666666666665,-1.1875252985509344,1.2597808758147309,12.561344048668971,5.970372903134566,2.2077274910795595,-0.14172874980047495,0.441623015626336,0.03191305255007705,-0.28839541646714145,-0.7459022829245984,1.291693928364808,0.46490468848353056,107.79283828076683,3.9361234719136826
8,0,Z0-south,0.1466666666666665,-1.2124747014490656,1.2597808758147309,13.381920459680652,5.660479798332807,1.4692513716896043,-0.15619683454490785,0.43905614377335395,0.03258031342297228,-0.009530167878241347,-0.7734185576757115,1.2923611892377032,0.46715011006069185,109.58331821277986,3.9992093190802622
9,0,Z0-south,0.43999999999999995,-1.2352671151375483,1.258042260651806,13.864612530615027,5.0298564367816585,0.6936776599453405,-0.16939021948401708,0.4390898682370212,0.03212318989685136,0.27060978051598283,-0.796177246900527,1.2901654505486573,0.47172540547907454,111.09540457973841,3.9047052576762034
10,0,Z0-south,0.7333333333333334,-1.2519615242270663,1.2546410161513775,13.997232616780918,4.114234770518479,-0.09941093832535088,-0.18114883385826838,0.44151963136523026,0.030496285269393422,0.552184499475065,-0.810441892861836,1.285137301420771,0.47820969072607833,112.30760178473729,3.6563352454161384
11,0,Z0-south,1.0266666666666664,-1.2596713137220963,1.2497257930190957,13.77643215169789,2.9654951317003375,-0.8899894783877517,-0.19103684343409566,0.44566483327996137,0.027651591175304795,0.8356298232325707,-0.814006480442135,1.2773773841944005,0.48567152445479567,113.20267741099289,3.2638863687966433
12,0,Z0-south,1.3200000000000003,-1.2570633909777091,1.2435114100916989,13.207786196109883,1.6487266245061503,-1.6580963927603398,-0.19839192825482527,0.4504979606717748,0.02358255078164775,1.121608071745175,-0.8065654303059344,1.2670939608733467,0.4928122426111842,113.76790719534004,2.7428231803456526
13,0,Z0-south,1.6133333333333337,-1.2445886895286435,1.236269465723032,12.30565267151407,0.23853909058155,-2.3843375071425315,-0.2024492971164883,0.45480991070753896,0.01837371958022888,1.4108840362168453,-0.7897787788211046,1.254643185303261,0.498172024858856,113.99525591448158,2.1136783138104773
14,0,Z0-south,1.9066666666666672,-1.224404198584548,1.2283164676327103,11.09280983246204,-1.185164383067714,-3.0503757300526217,-0.20251089357144575,0.4573906447986999,0.012235897506513653,1.7041557730952215,-0.767013553785848,1.2405523651392238,0.500366446868958,113.88149161253827,1.4012433902552972
15,0,Z0-south,2.2,-1.2,1.22,9.599881131209784,-2.5417148784511685,-3.6393940518474706,-0.19811850388067395,0.4572066364559683,0.00551040387879613,2.001881496119326,-0.7427933635440316,1.225510403878796,0.49831637997381145,113.42823154605722,0.6335920976288589
16,1,Z1-east,2.2,-1.2,1.25,97.86456199649079,-3.754248453963361,-4.1365201627152866,-0.4535577803059371,-0.1891873339980667,-0.0013639900480059903,1.746442219694063,-1.3891873339980667,1.248636009951994,0.4914350088162175,202.64191919333123,-0.15902606038770256
17,1,Z1-east,2.224404198584548,-1.04,1.260395584540888,95.93066804971939,-4.754061356769447,-4.529201968327616,-0.44619633386954133,-0.17606493816494875,-0.007915367107460953,1.7782078647150068,-1.2160649381649489,1.252480217433427,0.4797423098352826,201.5337326548611,-0.9453777541316205
18,1,Z1-east,2.2445886895286438,-0.8799999999999999,1.27033683215379,93.84702879051434,-5.484502868124208,-4.807524521637102,-0.43539051907473114,-0.15949770960381152,-0.013717130778743657,1.8091981704539126,-1.0394977096038114,1.2566197013750464,0.46388854603862206,200.11942574712663,-1.694476585634114
19,1,Z1-east,2.2570633909777094,-0.72,1.2793892626146237,91.66625468522666,-5.904185207870524,-4.964460368509867,-0.4219178951490405,-0.1405096673924776,-0.018458085444053567,1.8351454958286688,-0.8605096673924776,1.2609311771705702,0.44508243932557184,198.4191040486538,-2.3768041158868414
20,1,Z1-east,2.2596713137220967,-0.5599999999999999,1.2871572412738697,89.44340878864304,-5.989328620691598,-4.996046986136509,-0.4069804337193582,-0.12022046493261387,-0.021983629994967373,1.8526908800027386,-0.6802204649326138,1.2651736112789023,0.4249344815459983,196.45693908207392,-2.9654730467944725
21,1,Z1-east,2.2519615242270663,-0.4,1.293301270189222,87.23461643950866,-5.735108768434565,-4.9014868340231805,-0.3920447914129677,-0.09964554178448662,-0.02429650796351032,1.8599167328140986,-0.4996455417844866,1.2690047622257117,0.4052390316477204,194.26082469532105,-3.437286722318644
22,1,Z1-east,2.2352671151375487,-0.24,1.2975528258147577,85.09564813410645,-5.155930083477966,-4.683167491343639,-0.37862594936416455,-0.07952663851608678,-0.02551836772986592,1.8566411657733841,-0.31952663851608676,1.272034458084892,0.3877283622037211,191.86198052680135,-3.773653198888539
