condition,seed_index,direct_nrmse,amplitude_rms_db,phase_rms_deg,E_r_mean_m,E_d_mean_m,azimuth_abs_error_mean_deg,elevation_abs_error_mean_deg,path_count_change_rate,path_count_abs_difference_mean
D0,0,0.0,0.0,8.869031548297162e-16,9.639888231850774e-17,5.134781488891349e-17,6.7501559897209515e-15,8.302124648131295e-15,0.0,0.0
D0,1,0.0,0.0,8.869031548297162e-16,9.639888231850774e-17,5.134781488891349e-17,6.7501559897209515e-15,8.302124648131295e-15,0.0,0.0
D0,2,0.0,0.0,8.869031548297162e-16,9.639888231850774e-17,5.134781488891349e-17,6.7501559897209515e-15,8.302124648131295e-15,0.0,0.0
D0,3,0.0,0.0,8.869031548297162e-16,9.639888231850774e-17,5.134781488891349e-17,6.7501559897209515e-15,8.302124648131295e-15,0.0,0.0
D0,4,0.0,0.0,8.869031548297162e-16,9.639888231850774e-17,5.134781488891349e-17,6.7501559897209515e-15,8.302124648131295e-15,0.0,0.0
D1,0,0.16852167738148305,1.599295588953073,8.127704099179164,0.01665562847336021,0.01665562847336021,6.7501559897209515e-15,7.552724106509314e-15,0.3,0.725
D1,1,0.18865301032221182,0.9843162782270134,9.353595033796708,0.016080010769209386,0.016080010769209386,7.105427357601002e-15,8.133856470961545e-15,0.25,0.6125
D1,2,0.12432242450268959,0.8150540134735621,5.621571825904332,0.015470259331308408,0.015470259331308408,7.105427357601002e-15,7.162411324414533e-15,0.1875,0.4875
D1,3,0.21061011513101094,1.0444538812650952,5.997283367125007,0.01687247460185693,0.016872474601856934,6.7501559897209515e-15,8.0474672418579e-15,0.325,0.7875
D1,4,0.08495376259140694,1.3731741809116376,7.711023390625479,0.014531713842665389,0.014531713842665389,7.105427357601002e-15,7.089552938423507e-15,0.225,0.425
D2,0,0.21853849773571393,3.990458708493979,24.193949114270275,0.08319415543976416,0.08319415429512671,7.815970093361103e-15,0.0004926854785773685,0.6125,2.25
D2,1,0.147799679334552,3.8073072083119714,12.106333796227274,0.0803192294108315,0.08031922941083149,5.329070518200751e-15,7.653338068115969e-15,0.6875,2.125
D2,2,0.196879142846587,1.2553385752014607,6.050809027614379,0.07735129665654208,0.07735129665654208,6.0396132539608514e-15,8.287206026237895e-15,0.6,1.7
D2,3,0.19919091813280365,3.528497273134051,18.24723656253035,0.08380558101056115,0.08380558101056115,7.460698725481052e-15,8.428065572487212e-15,0.7125,2.35
D2,4,0.19567803994778246,2.5437628157965033,17.678449803563243,0.07235787078010283,0.07235781329667842,6.394884621840902e-15,0.0033024972486717734,0.65,1.7625
D3,0,0.16773849555078094,4.030286647045281,16.68625434545748,0.04273455580708358,4.0245584642661923e-17,4.766144177454739,2.3691108969824874,0.5625,1.725
D3,1,0.15836364770337918,2.6769971213292085,12.96685043689057,0.04007894584697908,4.9960036108132046e-17,4.161076909346556,2.4836471019879216,0.55,1.825
D3,2,0.18461463285346957,0.9327049852416985,7.333424133645573,0.04187752345887323,4.787836793695988e-17,4.739880584486774,2.2922914102999123,0.525,1.525
D3,3,0.09110071933746967,2.5895379554780247,18.026904518429262,0.038246052077782526,4.4408920985006264e-17,3.950535774777954,2.41630622259961,0.5,1.4625
D3,4,0.10160419262346547,4.095386115644885,18.7201244426915,0.043164426918004394,4.371503159461554e-17,4.863929498490734,2.396998483609707,0.625,2.1375
D4,0,0.16965862165203843,3.3402674712200104,19.82992811627484,0.05946505600825293,0.033311256946720415,4.766144177454739,2.3691108969824874,0.65,2.2
D4,1,0.19281034293630292,2.3073165121232604,11.378792464058584,0.055447410702012964,0.032160021538418744,4.161076909346557,2.4836471019879216,0.6,1.825
D4,2,0.17451763565318537,1.200556799752685,10.221050068157151,0.056072642653542414,0.030940518662616833,4.739880584486775,2.292291410299913,0.5375,1.475
D4,3,0.06337828038371136,3.1885483292485923,21.76809087609425,0.05570624889484436,0.03374494920371385,3.950535774777954,2.4163062225996113,0.6125,1.975
D4,4,0.18619757853892702,4.163810505231345,19.87035337698068,0.05705049402318531,0.029063427685330788,4.863929498490739,2.396998483609706,0.675,2.2875
D5,0,0.18636254266954558,3.326678416177519,24.639114685231714,0.08708601260379185,0.05141819402091961,7.59718503252405,3.2741073425798985,0.6875,2.6
D5,1,0.20839000049648035,4.9567664766318345,14.56585128196312,0.08542516988962366,0.04913852471178486,7.675084048049099,3.485824010536464,0.675,2.875
D5,2,0.1933431181125762,1.4195990441892463,23.964922625885237,0.0848060025679509,0.05040962159965451,7.475841214294715,2.9643414477000634,0.6,1.95
D5,3,0.15544941567201215,6.588586872957959,32.335476785674295,0.08285343778522387,0.05121286149709699,7.1421256645653015,3.290621748201505,0.6625,3.3875
D5,4,0.19670022794795497,4.329113630773723,27.576534748903036,0.09048646631454912,0.05019079778348159,8.286292084363728,3.4573232372782576,0.7125,2.875
