zone,num_snapshots,true_cfr_total_energy,true_cfr_mean_power,phone_ap_distance_min_m,phone_ap_distance_max_m,true_path_count_min,true_path_count_max,los_snapshot_rate
Z0-south,16,0.021790339513437923,2.127962843109172e-05,2.7615032138311917,5.402397615873901,58,66,1.0
Z1-east,16,0.3192063287804825,0.00031172493044968994,0.4301162633521314,2.7613402542968153,45,59,1.0
Z2-north,16,0.18609049674489903,0.00018172900072744045,0.43116122274620206,4.663249939687986,58,64,1.0
Z3-west,16,6.94805550797447e-05,6.785210457006319e-08,4.653626185520211,5.402323574166953,40,49,0.0
Z4-center,16,0.0616324516384676,6.018794105319102e-05,0.924608025057105,4.924926395389073,51,66,1.0
