model,scenario,d_t_m,amplitude_rms_db,phase_rms_deg,complex_nrmse,blocked,path_count
witwin,unblocked,0.675,0.0,4.907328e-07,0.0,,1
witwin,unblocked,0.7,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.25,6100.959903316656,nan,1.0,,0
witwin,blocked_transition,0.275,6100.959903316656,nan,1.0,,0
witwin,blocked_transition,0.3,6100.959903316656,nan,1.0,,0
witwin,blocked_transition,0.325,6100.959903316656,nan,1.0,,0
witwin,blocked_transition,0.35,6100.959903316656,nan,1.0,,0
witwin,blocked_transition,0.375,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.4,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.425,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.45,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.475,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.5,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.525,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.55,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.575,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.6,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.625,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.65,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.675,0.0,4.907328e-07,0.0,,1
witwin,blocked_transition,0.7,0.0,4.907328e-07,0.0,,1
