group,label,theta_mean,theta_std,theta_q025,theta_q975,theta_mean_ci_half,theta_error_mean,theta_error_std,theta_error_q025,theta_error_q975,theta_error_mean_ci_half,test_nrmse_mean,test_nrmse_std,test_nrmse_q025,test_nrmse_q975,test_nrmse_mean_ci_half,amplitude_rms_db_mean,amplitude_rms_db_std,amplitude_rms_db_q025,amplitude_rms_db_q975,amplitude_rms_db_mean_ci_half,phase_rms_deg_mean,phase_rms_deg_std,phase_rms_deg_q025,phase_rms_deg_q975,phase_rms_deg_mean_ci_half,theta_ci_coverage,theta_lower_bound_rate,theta_upper_bound_rate
SIM-A,静态 r0 / 静态 r0,1.0004226609923412,0.0034807109180386283,0.9940775578206381,1.007286478461058,0.00048240192152505275,0.002798654106206514,0.0021031083147705575,0.00013442522840318715,0.007350023946087614,0.0002914759415850383,0.0004890402725597492,0.00036797005451688625,2.3475395250587486e-05,0.0012797216532164488,5.099804768120487e-05,0.0023897896721983706,0.0017982948383719452,0.0001147126219262759,0.0062524293002335345,0.0002492309490579715,0.022380818891122586,0.01684074373502702,0.0010743264883878586,0.0585591620874288,0.002334008002671444,0.93,0.0,0.0
SIM-B,动态真值 / 固定 r0,0.5000000000000078,4.184810362317493e-15,0.5000000000000027,0.5000000000000163,5.799851258941886e-16,0.4999999999999922,4.184736356570732e-15,0.4999999999999837,0.49999999999999734,5.799748692209739e-16,0.8860970497255789,6.906039439024971e-17,0.8860970497255788,0.8860970497255789,9.571282344213543e-18,16.830492201171335,2.0460000391908075e-15,16.830492201171335,16.83049220117134,2.8356113839587335e-16,75.22452583657828,1.424651563630407e-14,75.22452583657827,75.22452583657827,1.9744663316833146e-15,0.0,1.0,0.0
SIM-C,动态真值 / 真值 rt（oracle）,1.0001221190821457,0.0029421565259122647,0.9940117717374134,1.005908552959334,0.000407762090833824,0.002338989045781566,0.0017812668158187052,0.00013763435542474278,0.0064256070950094455,0.00024687098553532316,0.0006134879980855297,0.00046701780457007047,3.6100939881472675e-05,0.0016911533240739159,6.472536548308472e-05,0.023053665807938897,0.017553907624229308,0.0013565784548402026,0.0634124680357156,0.002432847475013297,0.11637057909678655,0.08860640287480655,0.006847582664770642,0.3203199628383734,0.01228022091254729,0.965,0.0,0.0
SIM-D,动态真值 / 含噪三维 zt,0.9614648395425658,0.04093247451115473,0.878675128284535,0.9973763854451694,0.005672951538326272,0.03853516045743419,0.04093247451115473,0.0026236145548305893,0.12132487171546505,0.005672951538326272,0.05401789030144128,0.034852318975010343,0.019336772278674957,0.11498470488276227,0.004830284973112053,1.6983579877195287,2.5138146710517386,0.27280327247300085,6.7621164911976335,0.3483969385071953,15.864741440726585,25.15441219880426,1.7632815503810537,66.10992568945407,3.486223666737076,0.195,0.0,0.0
SIM-E,动态真值 / RTS 滤波 rt,0.7675717696485032,0.3291936199277359,0.5000000000000012,1.2060836768466583,0.04562390803095281,0.36757176964849536,0.16393549910025343,0.12999590074713224,0.4999999999999988,0.02272030100583411,0.7678568117284165,0.10989337682500597,0.6593006757184567,0.9035807762458885,0.015230444984248259,16.24232440264935,3.997122163782325,8.597472477432108,19.46714490234842,0.5539728686993395,81.97698735569385,12.619506736332967,68.74367096695968,104.79665963432029,1.74897440254411,0.0,0.6,0.0
SIM-F,动态真值 / 协方差边缘化,0.5000000000000133,1.0988203884350288e-14,0.5000000000000027,0.5000000000000449,1.5228873620181522e-15,0.49999999999998673,1.0988201065897697e-14,0.4999999999999552,0.49999999999999734,1.522886971400552e-15,0.7268409931328966,0.0694953400263508,0.6680059132916855,0.8506306335732104,0.009631562733925519,18.669777050139604,1.523286020302908,16.548088374573073,20.788291932732175,0.2111166714299996,83.77221843190699,3.589074608053005,77.48274966912798,88.65632573319483,0.4974203627335911,0.0,1.0,0.0
SIM-G,动态真值 / 仅真值标量 dt,0.5000000000000105,5.733903451981181e-15,0.5000000000000036,0.5000000000000248,7.9467847465871e-16,0.4999999999999895,5.733714408278396e-15,0.49999999999997524,0.49999999999999645,7.946522745382107e-16,0.8352322958286053,3.9042668963620434e-16,0.8352322958286043,0.8352322958286056,5.411037852040322e-17,16.46109449407001,3.0638290356374088e-15,16.461094494070007,16.461094494070014,4.246250403491086e-16,75.17051317547599,1.3849196054204959e-14,75.17051317547597,75.17051317547599,1.919400647006419e-15,0.0,1.0,0.0
