candidate,reference,metric,mean_degradation_candidate_minus_reference,cluster_bootstrap_ci_lo,cluster_bootstrap_ci_hi,positive_cluster_rate,paired_cluster_effect_dz,energy_pooled_degradation,energy_pooled_bootstrap_ci_lo,energy_pooled_bootstrap_ci_hi
D1,D0,test_nrmse,0.17156799957769608,0.10799314342100609,0.24643389862170248,1.0,0.945270897651196,0.1635809330204291,0.09366032981658083,0.20635171082585674
D2,D1,test_nrmse,0.49292659071500805,0.0357754847980709,1.0576884053149607,0.64,0.37682333788462713,0.027734978673915556,-0.015467287994620098,0.0764083393076028
D3,D0,test_nrmse,0.7154711256486617,0.21466790109101258,1.3323500926478877,1.0,0.48465716503697526,0.1439175899267494,0.08866592729824954,0.181529083742196
D4,D0,test_nrmse,0.6846922186025265,0.1508411776153178,1.3284926925297411,1.0,0.4529091775714054,0.16441466526572024,0.10279184977772196,0.2042101356547442
D5,D4,test_nrmse,0.21047037708118818,0.041442556634492554,0.4857964883344632,0.92,0.3368333244367073,0.025205105501348857,0.011505249558513255,0.05348361776725779
