condition,seed_index,time_index,zone,path_count,bounce_0,bounce_1,bounce_2,bounce_3,reconstruction_nrmse
D1,0,17,Z1-east,59,1,6,18,34,8.870724599319146e-08
D1,0,18,Z1-east,59,1,6,17,35,9.093228925394214e-08
D1,0,19,Z1-east,58,1,6,17,34,1.0459680055419085e-07
D1,0,20,Z1-east,57,1,6,17,33,9.909777531902364e-08
D1,0,21,Z1-east,50,1,5,14,30,8.621613289960806e-08
D1,0,22,Z1-east,49,1,5,14,29,9.761481578607345e-08
D1,0,23,Z1-east,46,1,5,13,27,1.0059495991754375e-07
D1,0,24,Z1-east,46,1,5,13,27,1.002193101840021e-07
D1,0,25,Z1-east,47,1,5,13,28,8.212313673539029e-08
D1,0,26,Z1-east,47,1,5,13,28,8.968700626610371e-08
D1,0,27,Z1-east,50,1,5,14,30,1.035517342984349e-07
D1,0,28,Z1-east,47,1,5,14,27,1.0497990388103062e-07
D1,0,29,Z1-east,48,1,5,14,28,1.2248159464434138e-07
D1,0,30,Z1-east,48,1,6,14,27,1.2349842393177823e-07
D1,0,31,Z1-east,48,1,6,14,27,8.387901573314593e-08
D1,0,32,Z2-north,53,1,5,15,32,9.087347763170328e-08
D1,0,33,Z2-north,61,1,6,18,36,1.0360700031242231e-07
D1,0,34,Z2-north,58,1,6,17,34,1.1790496046160115e-07
D1,0,35,Z2-north,59,1,6,17,35,7.938636059634518e-08
D1,0,36,Z2-north,63,1,6,18,38,1.0780136960875097e-07
D1,0,37,Z2-north,62,1,6,18,37,8.960657993384302e-08
D1,0,38,Z2-north,59,1,6,17,35,8.738612677916535e-08
D1,0,39,Z2-north,59,1,6,17,35,9.127999334168635e-08
D1,0,40,Z2-north,62,1,6,18,37,8.636515502757902e-08
D1,0,41,Z2-north,62,1,6,18,37,9.803691369825174e-08
D1,0,42,Z2-north,62,1,6,18,37,9.409342993649261e-08
D1,0,43,Z2-north,62,1,6,18,37,1.1302472557872534e-07
D1,0,44,Z2-north,62,1,6,18,37,8.90346001369835e-08
D1,0,45,Z2-north,63,1,6,18,38,8.215742752781807e-08
D1,0,46,Z2-north,63,1,6,18,38,1.042058173084115e-07
D1,0,47,Z2-north,62,1,6,18,37,1.0053265242504494e-07
D1,0,48,Z3-west,50,0,3,14,33,7.20107493634714e-08
D1,0,49,Z3-west,50,0,3,14,33,9.654344523823966e-08
D1,0,50,Z3-west,49,0,3,14,32,8.9846665218829e-08
D1,0,51,Z3-west,49,0,3,14,32,1.1699405177978406e-07
D1,0,52,Z3-west,45,0,3,13,29,2.536114607210038e-07
D1,0,53,Z3-west,40,0,2,11,27,1.076713189718248e-07
D1,0,54,Z3-west,41,0,2,11,28,1.0213188517127492e-07
D1,0,55,Z3-west,41,0,2,11,28,6.776995320478818e-08
D1,0,56,Z3-west,42,0,2,11,29,1.10692035093507e-07
D1,0,57,Z3-west,43,0,2,11,30,9.926369415325098e-08
D1,0,58,Z3-west,42,0,2,11,29,1.0566488839458543e-07
D1,0,59,Z3-west,40,0,2,11,27,3.864876418901986e-07
D1,0,60,Z3-west,42,0,2,11,29,1.551740496097409e-07
D1,0,61,Z3-west,42,0,2,11,29,1.1348965500701524e-07
D1,0,62,Z3-west,42,0,2,11,29,2.418897793177166e-07
D1,0,63,Z3-west,41,0,2,11,28,1.213209515071867e-07
D1,0,64,Z4-center,52,1,5,15,31,9.49462872767981e-08
D1,0,65,Z4-center,54,1,5,16,32,1.0645545245324683e-07
D1,0,66,Z4-center,55,1,5,16,33,8.449751476291567e-08
D1,0,67,Z4-center,57,1,5,16,35,1.0133652494914713e-07
D1,0,68,Z4-center,61,1,6,18,36,8.838561882384965e-08
D1,0,69,Z4-center,57,1,5,16,35,9.088749663987983e-08
D1,0,70,Z4-center,57,1,5,16,35,8.868961742791726e-08
D1,0,71,Z4-center,61,1,6,18,36,8.832211051412742e-08
D1,0,72,Z4-center,62,1,6,18,37,1.0148009010890746e-07
D1,0,73,Z4-center,66,1,6,19,40,8.691525721360449e-08
D1,0,74,Z4-center,60,1,6,18,35,7.554780268037575e-08
D1,0,75,Z4-center,55,1,6,16,32,9.58215835566989e-08
D1,0,76,Z4-center,55,1,6,16,32,9.146464208242833e-08
D1,0,77,Z4-center,54,1,6,16,31,9.296293512761622e-08
D1,0,78,Z4-center,61,1,6,18,36,1.2037529018016357e-07
D1,0,79,Z4-center,61,1,6,18,36,8.979519350305054e-08
D1,1,0,Z0-south,61,1,6,17,37,9.86378125844567e-08
D1,1,1,Z0-south,62,1,6,18,37,1.0359672586446322e-07
D1,1,2,Z0-south,61,1,6,18,36,9.424896063592314e-08
D1,1,3,Z0-south,61,1,6,17,37,8.840109444463451e-08
D1,1,4,Z0-south,58,1,6,17,34,7.893060427477394e-08
D1,1,5,Z0-south,59,1,6,18,34,1.1330604365866748e-07
D1,1,6,Z0-south,61,1,6,18,36,7.508761257213337e-08
D1,1,7,Z0-south,61,1,6,18,36,1.3815464683375467e-07
D1,1,8,Z0-south,63,1,6,18,38,1.0651234561009915e-07
D1,1,9,Z0-south,63,1,6,18,38,1.507386997445792e-07
D1,1,10,Z0-south,63,1,6,18,38,7.253758127490073e-08
D1,1,11,Z0-south,63,1,6,18,38,1.1090461526919171e-07
D1,1,12,Z0-south,62,1,6,18,37,7.140378244230305e-08
D1,1,13,Z0-south,65,1,6,19,39,9.61745669769698e-08
D1,1,14,Z0-south,66,1,7,20,38,1.4555439520336222e-07
D1,1,15,Z0-south,60,1,7,19,33,8.570648191152941e-08
D1,1,16,Z1-east,58,1,6,17,34,7.839858540137357e-08
D1,1,17,Z1-east,59,1,6,18,34,7.643620847375132e-08
D1,1,18,Z1-east,59,1,6,17,35,8.880939361688434e-08
D1,1,19,Z1-east,58,1,6,17,34,1.0459680055419085e-07
D1,1,20,Z1-east,57,1,6,17,33,9.909777531902364e-08
D1,1,21,Z1-east,49,1,5,14,29,8.176563426331995e-08
D1,1,22,Z1-east,46,1,5,13,27,9.9451284540919e-08
D1,1,23,Z1-east,46,1,5,13,27,9.538834433442389e-08
D1,1,24,Z1-east,46,1,5,13,27,9.573805215268294e-08
D1,1,25,Z1-east,47,1,5,13,28,6.983922418157817e-08
D1,1,26,Z1-east,48,1,5,13,29,9.614340257257936e-08
D1,1,27,Z1-east,46,1,5,13,27,1.0132927030781502e-07
D1,1,28,Z1-east,47,1,5,14,27,1.0572233577477164e-07
D1,1,29,Z1-east,45,1,5,13,26,1.076316848980241e-07
D1,1,30,Z1-east,48,1,6,14,27,1.1457421322802475e-07
D1,1,31,Z1-east,48,1,6,14,27,9.65736361990821e-08
D1,1,32,Z2-north,61,1,6,18,36,8.474901136423796e-08
D1,1,33,Z2-north,61,1,6,18,36,1.0360700031242231e-07
D1,1,34,Z2-north,58,1,6,17,34,1.1790496046160115e-07
D1,1,35,Z2-north,62,1,6,18,37,7.824748848861418e-08
D1,1,36,Z2-north,61,1,6,18,36,1.0860417631874952e-07
D1,1,37,Z2-north,62,1,6,18,37,8.960657993384302e-08
D1,1,38,Z2-north,62,1,6,18,37,8.227898717905191e-08
D1,1,39,Z2-north,59,1,6,17,35,9.127999334168635e-08
D1,1,40,Z2-north,62,1,6,18,37,8.636515502757902e-08
D1,1,41,Z2-north,62,1,6,18,37,9.803691369825174e-08
D1,1,42,Z2-north,62,1,6,18,37,9.409342993649261e-08
D1,1,43,Z2-north,62,1,6,18,37,1.1302472557872534e-07
D1,1,44,Z2-north,62,1,6,18,37,8.90346001369835e-08
D1,1,45,Z2-north,63,1,6,18,38,8.215742752781807e-08
D1,1,46,Z2-north,64,1,6,19,38,1.0305244302344363e-07
D1,1,47,Z2-north,62,1,6,18,37,1.0053265242504494e-07
D1,1,48,Z3-west,49,0,3,14,32,8.75767796060245e-08
D1,1,49,Z3-west,48,0,3,14,31,8.339052470773822e-08
D1,1,50,Z3-west,49,0,3,14,32,9.68757092323358e-08
D1,1,51,Z3-west,49,0,3,14,32,1.195339933701689e-07
D1,1,52,Z3-west,45,0,3,13,29,2.2898080942468368e-07
D1,1,53,Z3-west,45,0,3,13,29,2.2405659194646432e-07
D1,1,54,Z3-west,41,0,2,11,28,1.0886861900871736e-07
D1,1,55,Z3-west,41,0,2,11,28,6.55303793450912e-08
D1,1,56,Z3-west,42,0,2,11,29,9.52670120568655e-08
D1,1,57,Z3-west,43,0,2,11,30,1.024761075996139e-07
D1,1,58,Z3-west,42,0,2,11,29,1.0917578663338645e-07
D1,1,59,Z3-west,40,0,2,11,27,1.182487352480166e-07
D1,1,60,Z3-west,42,0,2,11,29,1.4093117783886555e-07
D1,1,61,Z3-west,42,0,2,11,29,1.2236115765063005e-07
D1,1,62,Z3-west,42,0,2,11,29,2.4668020159879234e-07
D1,1,63,Z3-west,41,0,2,11,28,9.002310008554559e-08
D1,1,64,Z4-center,53,1,5,15,32,9.880116635940794e-08
D1,1,65,Z4-center,51,1,5,15,30,1.0531771721389305e-07
D1,1,66,Z4-center,60,1,6,18,35,8.422854591572104e-08
D1,1,67,Z4-center,56,1,5,16,34,8.815284502361465e-08
D1,1,68,Z4-center,61,1,6,18,36,9.883297735768792e-08
D1,1,69,Z4-center,57,1,5,16,35,8.616431301788907e-08
D1,1,70,Z4-center,60,1,6,18,35,1.0212422552058342e-07
D1,1,71,Z4-center,65,1,6,19,39,1.1524931409212513e-07
D1,1,72,Z4-center,62,1,6,18,37,8.440459708936032e-08
D1,1,73,Z4-center,66,1,6,19,40,8.15797420727904e-08
D1,1,74,Z4-center,60,1,6,18,35,7.557317616146975e-08
D1,1,75,Z4-center,55,1,6,16,32,8.102062309944813e-08
D1,1,76,Z4-center,55,1,6,16,32,8.983555943586907e-08
D1,1,77,Z4-center,54,1,6,16,31,9.920432830767822e-08
D1,1,78,Z4-center,58,1,6,17,34,1.1971654600984039e-07
D1,1,79,Z4-center,58,1,6,17,34,1.0168677988531272e-07
D1,2,0,Z0-south,61,1,6,17,37,9.86378125844567e-08
D1,2,1,Z0-south,62,1,6,18,37,1.0359672586446322e-07
D1,2,2,Z0-south,61,1,6,18,36,9.424896063592314e-08
D1,2,3,Z0-south,61,1,6,17,37,8.840109444463451e-08
D1,2,4,Z0-south,58,1,6,17,34,7.893060427477394e-08
D1,2,5,Z0-south,59,1,6,18,34,1.1330604365866748e-07
D1,2,6,Z0-south,61,1,6,18,36,7.508761257213337e-08
D1,2,7,Z0-south,61,1,6,18,36,1.3815464683375467e-07
D1,2,8,Z0-south,62,1,6,18,37,9.854512939000415e-08
D1,2,9,Z0-south,63,1,6,18,38,1.3722041103392257e-07
D1,2,10,Z0-south,63,1,6,18,38,8.068897017210475e-08
D1,2,11,Z0-south,63,1,6,18,38,1.09746991938664e-07
D1,2,12,Z0-south,62,1,6,18,37,7.140378244230305e-08
D1,2,13,Z0-south,61,1,6,18,36,1.0272549388901098e-07
D1,2,14,Z0-south,66,1,7,20,38,1.3838956647305167e-07
D1,2,15,Z0-south,60,1,7,19,33,9.378762655387618e-08
D1,2,16,Z1-east,58,1,6,17,34,7.839858540137357e-08
D1,2,17,Z1-east,59,1,6,18,34,8.232893122794849e-08
D1,2,18,Z1-east,59,1,6,17,35,8.496301973082154e-08
D1,2,19,Z1-east,58,1,6,17,34,1.0459680055419085e-07
D1,2,20,Z1-east,58,1,6,17,34,1.0592417254429165e-07
D1,2,21,Z1-east,50,1,5,14,30,8.577785592933651e-08
D1,2,22,Z1-east,46,1,5,13,27,9.697217961956994e-08
D1,2,23,Z1-east,46,1,5,13,27,9.411338908194011e-08
D1,2,24,Z1-east,46,1,5,13,27,8.998778611157832e-08
D1,2,25,Z1-east,47,1,5,13,28,8.099816284357075e-08
D1,2,26,Z1-east,47,1,5,13,28,8.633061554519372e-08
D1,2,27,Z1-east,49,1,5,14,29,9.347635909762175e-08
D1,2,28,Z1-east,47,1,5,14,27,1.0172156095222817e-07
D1,2,29,Z1-east,48,1,5,14,28,1.1339222538708782e-07
D1,2,30,Z1-east,48,1,6,14,27,1.1631991014837695e-07
D1,2,31,Z1-east,47,1,6,13,27,9.398025468954074e-08
D1,2,32,Z2-north,53,1,5,15,32,9.265929890034386e-08
D1,2,33,Z2-north,61,1,6,18,36,1.0360700031242231e-07
D1,2,34,Z2-north,58,1,6,17,34,1.1790496046160115e-07
D1,2,35,Z2-north,59,1,6,17,35,7.938636059634518e-08
D1,2,36,Z2-north,63,1,6,18,38,1.096634676400754e-07
D1,2,37,Z2-north,59,1,6,17,35,9.207465723193309e-08
D1,2,38,Z2-north,62,1,6,18,37,8.227898717905191e-08
D1,2,39,Z2-north,62,1,6,18,37,8.691080211065128e-08
D1,2,40,Z2-north,62,1,6,18,37,8.636515502757902e-08
D1,2,41,Z2-north,62,1,6,18,37,9.803691369825174e-08
D1,2,42,Z2-north,62,1,6,18,37,9.409342993649261e-08
D1,2,43,Z2-north,62,1,6,18,37,1.1302472557872534e-07
D1,2,44,Z2-north,63,1,6,18,38,9.067337458645852e-08
D1,2,45,Z2-north,63,1,6,18,38,8.215742752781807e-08
D1,2,46,Z2-north,65,1,6,19,39,1.093162822485283e-07
D1,2,47,Z2-north,62,1,6,18,37,1.0053265242504494e-07
D1,2,48,Z3-west,48,0,3,14,31,8.22868315708547e-08
D1,2,49,Z3-west,48,0,3,14,31,8.494762937516498e-08
D1,2,50,Z3-west,48,0,3,14,31,9.182738835988857e-08
D1,2,51,Z3-west,49,0,3,14,32,1.2347891242825426e-07
D1,2,52,Z3-west,45,0,3,13,29,2.138475991841915e-07
D1,2,53,Z3-west,45,0,3,13,29,3.098542151747097e-07
D1,2,54,Z3-west,41,0,2,11,28,8.627195313692937e-08
D1,2,55,Z3-west,41,0,2,11,28,7.342208618865698e-08
D1,2,56,Z3-west,42,0,2,11,29,9.920699994836468e-08
D1,2,57,Z3-west,43,0,2,11,30,1.0719226395394799e-07
D1,2,58,Z3-west,42,0,2,11,29,9.936361067275357e-08
D1,2,59,Z3-west,40,0,2,11,27,1.2452738928914187e-07
D1,2,60,Z3-west,42,0,2,11,29,1.1363468388481124e-07
D1,2,61,Z3-west,42,0,2,11,29,1.2688158790297166e-07
D1,2,62,Z3-west,42,0,2,11,29,2.1273420713896485e-07
D1,2,63,Z3-west,41,0,2,11,28,9.393719579975368e-08
D1,2,64,Z4-center,55,1,5,16,33,9.154028646207735e-08
D1,2,65,Z4-center,51,1,5,15,30,1.2155661011092889e-07
D1,2,66,Z4-center,55,1,5,16,33,9.621656715808058e-08
D1,2,67,Z4-center,57,1,5,16,35,9.075334617136832e-08
D1,2,68,Z4-center,54,1,5,15,33,8.400864714985801e-08
D1,2,69,Z4-center,57,1,5,16,35,8.157621778082103e-08
D1,2,70,Z4-center,60,1,6,18,35,1.0350267132253066e-07
D1,2,71,Z4-center,61,1,6,18,36,9.111057153177171e-08
D1,2,72,Z4-center,63,1,6,18,38,8.942373597164988e-08
D1,2,73,Z4-center,66,1,6,19,40,8.585807620420383e-08
D1,2,74,Z4-center,60,1,6,18,35,7.557609649211372e-08
D1,2,75,Z4-center,55,1,6,16,32,9.361185249190385e-08
D1,2,76,Z4-center,55,1,6,16,32,8.505860193963599e-08
D1,2,77,Z4-center,54,1,6,16,31,9.416707769105415e-08
D1,2,78,Z4-center,58,1,6,17,34,1.2098907120616786e-07
D1,2,79,Z4-center,58,1,6,17,34,1.0744672351847839e-07
D1,3,0,Z0-south,61,1,6,17,37,1.035694126017006e-07
D1,3,1,Z0-south,62,1,6,18,37,1.0359672586446322e-07
D1,3,2,Z0-south,61,1,6,18,36,9.424896063592314e-08
D1,3,3,Z0-south,61,1,6,17,37,8.840109444463451e-08
D1,3,4,Z0-south,58,1,6,17,34,7.893060427477394e-08
D1,3,5,Z0-south,60,1,6,18,35,1.052717735205988e-07
D1,3,6,Z0-south,61,1,6,18,36,7.508761257213337e-08
D1,3,7,Z0-south,61,1,6,18,36,1.3815464683375467e-07
D1,3,8,Z0-south,62,1,6,18,37,9.854512939000415e-08
D1,3,9,Z0-south,62,1,6,18,37,1.1936985799820832e-07
D1,3,10,Z0-south,63,1,6,18,38,7.953876490773837e-08
D1,3,11,Z0-south,63,1,6,18,38,1.0988370036102424e-07
D1,3,12,Z0-south,62,1,6,18,37,7.140378244230305e-08
D1,3,13,Z0-south,64,1,6,19,38,9.934737477124145e-08
D1,3,14,Z0-south,66,1,7,20,38,1.5247998419454234e-07
D1,3,15,Z0-south,61,1,7,19,34,8.994931732786426e-08
D1,3,16,Z1-east,58,1,6,17,34,7.839858540137357e-08
D1,3,17,Z1-east,59,1,6,18,34,8.290526665177822e-08
D1,3,18,Z1-east,59,1,6,17,35,8.722547306660999e-08
D1,3,19,Z1-east,58,1,6,17,34,1.0459680055419085e-07
D1,3,20,Z1-east,57,1,6,17,33,9.909777531902364e-08
D1,3,21,Z1-east,50,1,5,14,30,7.987972594492021e-08
D1,3,22,Z1-east,49,1,5,14,29,1.0418447260462926e-07
D1,3,23,Z1-east,46,1,5,13,27,1.0111815385016598e-07
D1,3,24,Z1-east,46,1,5,13,27,9.44147586778854e-08
D1,3,25,Z1-east,47,1,5,13,28,7.877460461713781e-08
D1,3,26,Z1-east,47,1,5,13,28,8.19608629853974e-08
D1,3,27,Z1-east,45,1,5,13,26,1.0423650564916898e-07
D1,3,28,Z1-east,47,1,5,14,27,9.700360692477261e-08
D1,3,29,Z1-east,48,1,5,14,28,1.0885385393066827e-07
D1,3,30,Z1-east,48,1,6,14,27,1.2210379907173774e-07
D1,3,31,Z1-east,47,1,6,13,27,1.0098396074909033e-07
D1,3,32,Z2-north,53,1,5,15,32,8.64214158013965e-08
D1,3,33,Z2-north,61,1,6,18,36,1.0360700031242231e-07
D1,3,34,Z2-north,58,1,6,17,34,1.1790496046160115e-07
D1,3,35,Z2-north,59,1,6,17,35,7.938636059634518e-08
D1,3,36,Z2-north,63,1,6,18,38,1.0572484399062887e-07
D1,3,37,Z2-north,62,1,6,18,37,8.960657993384302e-08
D1,3,38,Z2-north,59,1,6,17,35,8.738612677916535e-08
D1,3,39,Z2-north,59,1,6,17,35,9.127999334168635e-08
D1,3,40,Z2-north,59,1,6,17,35,8.654964034349177e-08
D1,3,41,Z2-north,59,1,6,17,35,1.0328460575692588e-07
D1,3,42,Z2-north,62,1,6,18,37,9.409342993649261e-08
D1,3,43,Z2-north,63,1,6,18,38,1.0499645242134648e-07
D1,3,44,Z2-north,63,1,6,18,38,9.067337458645852e-08
D1,3,45,Z2-north,63,1,6,18,38,8.215742752781807e-08
D1,3,46,Z2-north,64,1,6,19,38,1.0571774566869863e-07
D1,3,47,Z2-north,62,1,6,18,37,1.0053265242504494e-07
D1,3,48,Z3-west,48,0,3,14,31,8.537758589000077e-08
D1,3,49,Z3-west,48,0,3,14,31,8.269424967011219e-08
D1,3,50,Z3-west,49,0,3,14,32,9.539955669879419e-08
D1,3,51,Z3-west,50,0,3,14,33,1.3716821456455364e-07
D1,3,52,Z3-west,45,0,3,13,29,2.3146728267420258e-07
D1,3,53,Z3-west,40,0,2,11,27,9.161836089788267e-08
D1,3,54,Z3-west,41,0,2,11,28,8.135089046845678e-08
D1,3,55,Z3-west,41,0,2,11,28,6.100413685317108e-08
D1,3,56,Z3-west,42,0,2,11,29,1.0289168983490526e-07
D1,3,57,Z3-west,43,0,2,11,30,1.0573513975487003e-07
D1,3,58,Z3-west,42,0,2,11,29,8.86636186692158e-08
D1,3,59,Z3-west,40,0,2,11,27,1.3200298099036445e-07
D1,3,60,Z3-west,42,0,2,11,29,1.259987101320803e-07
D1,3,61,Z3-west,42,0,2,11,29,1.361426171797575e-07
D1,3,62,Z3-west,42,0,2,11,29,2.41696852754103e-07
D1,3,63,Z3-west,41,0,2,11,28,1.219301708488274e-07
D1,3,64,Z4-center,52,1,5,15,31,9.03161208043457e-08
D1,3,65,Z4-center,53,1,5,15,32,1.1095300322949697e-07
D1,3,66,Z4-center,55,1,5,16,33,8.652109073636893e-08
D1,3,67,Z4-center,61,1,6,18,36,9.284757851446557e-08
D1,3,68,Z4-center,61,1,6,18,36,8.28654691531483e-08
D1,3,69,Z4-center,61,1,6,18,36,8.01495900759619e-08
D1,3,70,Z4-center,61,1,6,18,36,9.140855183886742e-08
D1,3,71,Z4-center,62,1,6,18,37,1.2063335930179164e-07
D1,3,72,Z4-center,63,1,6,18,38,9.242901199968401e-08
D1,3,73,Z4-center,63,1,6,18,38,6.885699121994548e-08
D1,3,74,Z4-center,63,1,6,18,38,7.306592664235723e-08
D1,3,75,Z4-center,55,1,6,16,32,8.855413113906252e-08
D1,3,76,Z4-center,54,1,6,16,31,8.79565433820062e-08
D1,3,77,Z4-center,54,1,6,16,31,9.689102142829142e-08
D1,3,78,Z4-center,58,1,6,17,34,1.219671759145058e-07
D1,3,79,Z4-center,61,1,6,18,36,9.378914000990335e-08
D1,4,0,Z0-south,61,1,6,17,37,1.035694126017006e-07
D1,4,1,Z0-south,63,1,6,18,38,9.134662803944593e-08
