condition,fold,test_zone,repeat_in_fold,geometry_seed,theta_hat,theta_abs_error,test_nrmse,amplitude_rms_db,phase_rms_deg,test_squared_error,test_truth_energy,theta_lower_bound,theta_upper_bound
D0,0,Z0-south,0,0,0.9996660083840073,0.00033399161599267924,0.0001281259491115473,0.0008215645772666959,0.0045795542009869905,3.577158535711366e-10,0.021790339513437923,0,0
D0,0,Z0-south,1,1,0.9985025009884497,0.001497499011550274,0.0005742861325097765,0.00368230687148978,0.02052582161399561,7.186553378908952e-09,0.021790339513437923,0,0
D0,0,Z0-south,2,2,0.9976286015852797,0.002371398414720338,0.000909204093600967,0.0058296614908420995,0.032495500550902556,1.8013029565945216e-08,0.021790339513437923,0,0
D0,0,Z0-south,3,3,0.9994249576873293,0.0005750423126706927,0.00022058317136270647,0.0014144066719308892,0.00788416309963508,1.060251143976317e-09,0.021790339513437923,0,0
D0,0,Z0-south,4,4,1.0003714655519884,0.0003714655519884147,0.0001425295228693609,0.0009139392541886429,0.005094474613406646,4.426634450410384e-10,0.021790339513437923,0,0
D0,0,Z0-south,5,0,0.9996541086663991,0.0003458913336008562,0.0001326904850650196,0.0008508328693081743,0.004742701015441668,3.836573833090153e-10,0.021790339513437923,0,0
D0,0,Z0-south,6,1,0.9999982307948899,1.7692051100803852e-06,6.787652923257594e-07,4.352391465004593e-06,2.426105691465769e-05,1.0039295819239236e-14,0.021790339513437923,0,0
D0,0,Z0-south,7,2,0.9994992989160696,0.0005007010839304105,0.0001920702208963711,0.001231580446899263,0.006865057017106004,8.038667559453593e-10,0.021790339513437923,0,0
D0,0,Z0-south,8,3,0.9986105090867543,0.0013894909132456945,0.0005328812830418899,0.0034168295620333705,0.019046008446341706,6.187638452050372e-09,0.021790339513437923,0,0
D0,0,Z0-south,9,4,1.0012389868487555,0.0012389868487554523,0.0004755073501690979,0.0030491547587853766,0.016996607982094264,4.9269535274592135e-09,0.021790339513437923,0,0
D0,0,Z0-south,10,0,0.9983129984086231,0.0016870015913769132,0.0006469258743677982,0.004148050790054547,0.023121951661722207,9.119542254946271e-09,0.021790339513437923,0,0
D0,0,Z0-south,11,1,0.9988857990832395,0.0011142009167605105,0.0004273378173981382,0.0027401052168849103,0.015273835660826128,3.9792997269244485e-09,0.021790339513437923,0,0
D0,0,Z0-south,12,2,0.9990767066216554,0.0009232933783446251,0.0003541363163989104,0.0022707457152422285,0.012657546421409574,2.7327816208519385e-09,0.021790339513437923,0,0
D0,0,Z0-south,13,3,1.0004627054677355,0.0004627054677355247,0.0001775423158636346,0.0011384537767301953,0.006345963189690393,6.868592606613076e-10,0.021790339513437923,0,0
D0,0,Z0-south,14,4,1.0006358392290986,0.0006358392290986004,0.00024398626123104856,0.0015645189728295923,0.008720936479285728,1.2971635636343541e-09,0.021790339513437923,0,0
D0,0,Z0-south,15,0,1.0004425539865611,0.00044255398656112277,0.00016980914874639434,0.0010888658586997956,0.006069550240461197,6.283276430057672e-10,0.021790339513437923,0,0
D0,0,Z0-south,16,1,0.999512598101421,0.0004874018985789874,0.00018696930702146532,0.0011988731012670909,0.006682740392445597,7.617362678750116e-10,0.021790339513437923,0,0
D0,0,Z0-south,17,2,1.0009039283573475,0.0009039283573475387,0.000346884009735119,0.0022243480844275246,0.012398960065930371,2.621999221362248e-09,0.021790339513437923,0,0
D0,0,Z0-south,18,3,0.999503837542391,0.0004961624576089729,0.00019032943112113403,0.001220418407813226,0.006802837805538816,7.89361419299537e-10,0.021790339513437923,0,0
D0,0,Z0-south,19,4,1.0009234683915729,0.0009234683915728681,0.0003543844465196267,0.002272444796378436,0.012667061208933957,2.7366124789518286e-09,0.021790339513437923,0,0
D0,0,Z0-south,20,0,1.0006859253844258,0.0006859253844258006,0.00026320912851046093,0.0016877844097452077,0.009408043165762846,1.509613918934496e-09,0.021790339513437923,0,0
D0,0,Z0-south,21,1,1.000652195375713,0.0006521953757130383,0.0002502636266848411,0.0016047721519960368,0.008945315895463947,1.3647699914810518e-09,0.021790339513437923,0,0
D0,0,Z0-south,22,2,0.9986360381071206,0.0013639618928793507,0.00052309438472783,0.0033540782581586563,0.018696222515428466,5.962441253216352e-09,0.021790339513437923,0,0
D0,0,Z0-south,23,3,1.0033838235468457,0.0033838235468457434,0.0012994396624779571,0.008333022729670462,0.04645015802346182,3.679393476279701e-08,0.021790339513437923,0,0
D0,0,Z0-south,24,4,1.0008384699627797,0.0008384699627796977,0.00032175841388915017,0.0020632300159754836,0.011500854364527972,2.2559206611444977e-09,0.021790339513437923,0,0
D0,0,Z0-south,25,0,1.001283097360663,0.0012830973606630103,0.0004924424134673201,0.0031577531708969204,0.017601959087164058,5.284147103220622e-09,0.021790339513437923,0,0
