condition,label,theta_hat_mean,theta_hat_std,theta_hat_q025,theta_hat_q975,theta_abs_error_mean,theta_abs_error_std,theta_abs_error_q025,theta_abs_error_q975,test_nrmse_mean,test_nrmse_std,test_nrmse_q025,test_nrmse_q975,amplitude_rms_db_mean,amplitude_rms_db_std,amplitude_rms_db_q025,amplitude_rms_db_q975,phase_rms_deg_mean,phase_rms_deg_std,phase_rms_deg_q025,phase_rms_deg_q975,theta_lower_bound_mean,theta_lower_bound_std,theta_lower_bound_q025,theta_lower_bound_q975,theta_upper_bound_mean,theta_upper_bound_std,theta_upper_bound_q025,theta_upper_bound_q975,test_nrmse_cluster_bootstrap_ci_lo,test_nrmse_cluster_bootstrap_ci_hi,energy_pooled_test_nrmse,energy_pooled_cluster_bootstrap_ci_lo,energy_pooled_cluster_bootstrap_ci_hi
D0,exact 3-D geometry,1.000068498223484,0.0015318751316329754,0.9969032793609452,1.0029377936104074,0.001217517576893716,0.0009306036422295483,5.0509679304025506e-05,0.003714139325092565,0.0007201375313850253,0.0010831866766586229,1.5050606626051127e-05,0.004234854988162443,0.005870283047844487,0.009786103752196726,0.00010976217496241935,0.03782677163759138,0.020946199546794837,0.019272338914955937,0.0008475557746668475,0.07513658518483443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043581093334040764,0.0010529000031958902,0.0005147842196188666,0.0003690103858068147,0.0006080904410134461
D1,radial noise 2 cm,0.8098149827636749,0.17139771177681318,0.5000000000000366,1.0173723004928654,0.19547943363978168,0.16532155179270666,0.003583542268588924,0.49999999999996336,0.1722881371090811,0.17871306705657347,0.0028013948624894276,0.6809584516218985,1.6498651365542,2.5226147267107897,0.023130695704907764,9.621852774768461,6.906161238076915,8.866741109916193,0.1759677539169306,33.07064674367872,0.04,0.19615543303160288,0.0,1.0,0.0,0.0,0.0,0.0,0.10783894191699611,0.2457024839102058,0.16409571724004796,0.09475734465872361,0.20744503433452072
D2,radial noise 10 cm,0.7202658502492066,0.14593796181724542,0.5031246440691041,0.979876474781679,0.2797341497507933,0.14593796181724542,0.020123525218320996,0.4968753559308959,0.6652147278240892,1.4043957868611154,0.028368091805840438,5.468630491764064,2.670101742442179,4.123325346769687,0.21193488872258812,14.084241635314397,11.790488575611194,17.319527105015823,1.5436203033158316,66.02290073417997,0.002,0.044721359549995794,0.0,0.0,0.0,0.0,0.0,0.0,0.16869017908465955,1.279759565603044,0.1918306959139635,0.13247061756148615,0.22771595508309683
D3,angular noise 6°/3°,0.8629886892612083,0.1125385454707313,0.6544999671242304,0.9963965001365958,0.13701585987086778,0.11253299575106139,0.003603499863404239,0.3455000328757696,0.7161912631800467,1.4485055383899927,0.011611266027289844,5.193411852634361,2.001390919953293,3.243915913108248,0.05720299973272733,10.840908803628484,9.588865013825503,14.162199850161088,0.41209370964907954,41.97744184180471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2226368115491857,1.3438583177347563,0.14443237414636828,0.09027952668458501,0.18179370911782108
D4,joint noise 4 cm/6°/3°,0.8240147696149552,0.12331707980290198,0.6473777723993099,1.0045403287475358,0.17647960566570664,0.12260710856499472,0.0011509568096541244,0.35262222760069006,0.6854123561339114,1.4832328421256251,0.027276080480359455,5.323573400453469,2.238088051122062,3.517784313928309,0.06612563012929289,10.438480466436303,10.542185967272502,15.469415656916064,0.44559289703004606,48.88621780739733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600493875599048,1.3320578798308917,0.1649294494853391,0.10205827361734274,0.20481808716731792
D5,joint noise + burst outliers,0.7825055071732743,0.15830802558007276,0.5747443410638441,1.0888816361545592,0.22725419263348556,0.14391705485782452,0.002613522971243998,0.42525565893615586,0.8958827332150995,1.659439771944389,0.027393756546040465,5.336424988483533,3.584188851829984,4.412951303940751,0.07543678455623776,12.379485311325068,16.147922281635772,21.12907449778877,0.5276167408574237,64.33933124451706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259280865382224,1.6170723055068394,0.19013455498668796,0.13341163179109994,0.2314326984128416
